id,title,inferred_technology_tags
proj-cs230-017,AUTOMATED FINAL YEAR PROJECT TITLE SIMILARITY AND SUPERVISOR MATCHING SYSTEM FOR EFFECTIVE PROJECT ALLOCATION USING BERT-BASED MODEL AND COSINE SIMILARITY,NLP / Transformer; AR/VR / Game
proj-cs230-018,COLLABORATIVE RECOMMENDER SYSTEM FOR MALAY ANIMATED MOVIES AND SERIES,Recommender System
proj-cs230-019,HIREHUB: PROFILE PREDICTION FOR HR RECRUITMENT USING RANDOM FOREST,Machine Learning
proj-cs230-020,FINDMYSTAY@UITM: OFF-CAMPUS HOUSE RENTAL RECOMMENDATION SYSTEM FOR UiTM STUDENTS,Recommender System
proj-cs230-021,STRESS INDICATOR ANALYSIS AND TREND COMPARISON SYSTEM USING SUPPORT VECTOR MACHINE,Machine Learning; Data Analytics
proj-cs230-022,AUTOMATED LEAVE SCREENING AND FORECASTING SYSTEM FOR HUMAN RESOURCE MANAGEMENT USING NEGATIVE BINOMIAL REGRESSION,Data Analytics
proj-cs230-023,LSTM-BASED CRIME HOTSPOT PREDICTION AND REAL-TIME MAPPING IN MALAYSIA USING DOSM AND X DATA,Machine Learning; Data Analytics
proj-cs230-024,FAKE PRODUCT REVIEW DETECTION USING MACHINE LEARNING AND SENTIMENT-BEHAVIORAL ANALYSIS,Machine Learning
proj-cs230-025,ASPECT-BASED SENTIMENT ANALYSIS OF USER REVIEW ON SKINCARE PRODUCT USING SUPPORT VECTOR MACHINE,Machine Learning; Sentiment Analysis
proj-cs230-026,ACADEMIC GUIDANCE: A RECOMMENDER SYSTEM FOR UiTM DIPLOMA PROGRAMME,Recommender System
proj-cs230-027,SUBJECTIVITY DETECTION IN INFLUENCER VIDEO REVIEW USING DEEP LEARNING,Deep Learning / CV; Sentiment Analysis
proj-cs230-028,LEXGRAPH: AUTOMATED EXTRACTION AND STRUCTURING OF MALAYSIAN LEGISLATION WITH HIERARCHICAL KNOWLEDGE GRAPH FOR ENHANCED LEGAL RESEARCH,Knowledge Graph
proj-cs230-029,HYSCENTPRINT: A HYBRID CLUSTERING AND SCENT FINGERPRINT PREDICTIVE RECOMMENDATION SYSTEM FOR PERSONALIZED PERFUME MATCHING,Recommender System; Mobile App; Data Analytics
proj-cs230-030,AUXILIARY POLICE NAVIGATION ROUTING SYSTEM (APNRS) IN UITM,GIS / Navigation
proj-cs230-031,GREENCHOICE: INTELLIGENT HYBRID RECOMMENDER FOR ECO FRIENDLY ELECTRONICS PRODUCTS,Recommender System
proj-cs230-032,BEAFIT: INTELLIGENT MARATHON TRAINING MONITORING AND RECOMMENDATION APPLICATION FOR BEGINNER RUNNERS USING RULE-BASED AND RANDOM FOREST,Machine Learning; Recommender System
proj-cs230-033,SMARTSCHOLAR: SCHOLARSHIP COMPATIBILITY SCORE PREDICTION SYSTEM USING RANDOM FOREST,Machine Learning; Data Analytics
proj-cs230-034,HALAL INGREDIENT RISK SCANNER,Data Analytics
proj-cs230-035,AI CONGKAK TUTOR: A REINFORCEMENT LEARNING WEB-BASED PLATFORM FOR CONGKAK EDUCATION AND GAMEPLAY,Reinforcement Learning; AR/VR / Game; Web / Dashboard
proj-cs230-036,"MYSTUDYGUIDE: ADAPTIVE STUDY RESOURCE RECOMMENDER USING FSLSM, CONTENT-BASED FILTERING AND LinUCB",Recommender System
proj-cs230-037,REAL-TIME PORTFOLIO OPTIMIZATION ON BURSA MALAYSIA STOCK MARKET USING WHALE OPTIMIZATION ALGORITHM,Machine Learning; Data Analytics
proj-cs230-038,GREENWISE: DEGRADABLE PRODUCT RECOMMENDER SYSTEM USING CONTENT-BASED FILTERING AND SUPPORT VECTOR MACHINE,Machine Learning; Recommender System
proj-cs230-039,SENTIMIX: MULTILINGUAL ASPECT-BASED SENTIMENT ANALYSIS FOR RESTAURANT REVIEWS IN JASIN,Sentiment Analysis
proj-cs230-040,CLINEXA: SMART MEDICAL INTERPRETATION VIA DEEP LEARNING WITH HIERARCHICAL KNOWLEDGE GRAPH FOR ENHANCED MEDICAL UNDERSTANDING,Deep Learning / CV; Knowledge Graph
proj-cs230-041,LINGUASHIELD: A HYBRID MBERT-BILSTM APPROACH FOR BODY SHAMING DETECTION IN INFORMAL BAHASA MELAYU THREADS COMMENTS,NLP / Transformer; Machine Learning
proj-cs230-042,INTELLIGENT COMPUTING FINAL YEAR PROJECT RECOMMENDATION SYSTEM,Recommender System; AR/VR / Game
proj-cs230-043,A HYBRID RESNET50-SWIN TRANSFORMER NETWORK FOR LIP PRINT BIOMETRIC IDENTIFICATION,NLP / Transformer
proj-cs230-044,REAL-TIME LIP PRINT DETECTION AND CLASSIFICATION FROM FULL-LIP AND QUADRANT IMAGES USING YOLOV9-SEG AND SWIN V2,Deep Learning / CV
proj-cs230-045,LEXIMATH: REAL-TIME HANDWRITTEN MATH SOLVER FOR DYSLEXIC STUDENTS USING DEEP LEARNING APPROACH,Deep Learning / CV
proj-cs230-046,PNEUSCAN: PNEUMONIA DIAGNOSIS USING CONVOLUTIONAL NEURAL NETWORK AND EXPLAINABLE ARTIFICIAL INTELLIGENCE TECHNIQUE,AI / XAI
proj-cs230-047,SHOESPRO: ROAD RUNNING SHOE RECOMMENDATION SYSTEM USING WEIGHTED CONTENT-BASED FILTERING AND CONSTRAINT-BASED KNOWLEDGE GRAPH REASONING,Recommender System; Knowledge Graph
proj-cs230-048,MELANOMA SKIN LESION DETECTION SYSTEM USING YOLOV11,Deep Learning / CV
proj-cs230-049,FISH FRESHNESS DETECTION MOBILE APPLICATION USING DUAL-MODEL YOLOV8 ARCHITECTURE,Deep Learning / CV; Mobile App
proj-cs230-050,DETECTION OF MANGO LEAF DISEASE AND TREATMENT SUGGESTION BY USING IMAGE PROCESSING,General CS
proj-cs230-051,A HYBRID VIDEO GAME RECOMMENDATION SYSTEM USING CONTENT-BASED AND COLLABORATIVE FILTERING FOR NEW USERS,Recommender System
proj-cs230-052,RASAWARISAN: A HYBRID FILTERING EMOTION-BASED RECOMMENDATION SYSTEM FOR MALAY TRADITIONAL RECIPES,Recommender System; Sentiment Analysis
proj-cs230-053,VEHICLE PLATE DETECTION AND RECOGNITION USING OCR AND YOLOV8,Deep Learning / CV
proj-cs230-054,GAME-BASED LEARNING FOR HOME PLANT CARE EDUCATION,AR/VR / Game
proj-cs230-055,REAL TIME SKIN DISEASE DETECTION USING YOLOV11,Deep Learning / CV
proj-cs230-056,A PERSONALIZED ALLERGY AWARE RECIPE RECOMMENDATION SYSTEM USING CONTENT BASED FILTERING,Recommender System
proj-cs230-057,NAELUS: NAIL DISEASE DETECTION AND CLASSIFICATION FROM IMAGE DATA USING YOLOV8 TWO PIPELINE WITH TRANSFER LEARNING,Deep Learning / CV
proj-cs230-058,A REAL-TIME WEB-BASED SKIN TYPE DETECTION USING MOBILENETV2 WITH SVM-BASED SKINCARE INGREDIENT RECOMMENDATION,Deep Learning / CV; Machine Learning; Recommender System; Web / Dashboard
proj-cs230-059,MALAYSIAN SIGN LANGUAGE (MSL) RECOGNITION SYSTEM USING MEDIAPIPE FOR REAL-TIME TRANSLATION,General CS
proj-cs230-060,SKIN UNDERTONE DETECTION SYSTEM USING YOLOV8 AND CONVOLUTIONAL NEURAL NETWORK (CNN) FOR FOUNDATION SELECTION,Deep Learning / CV
proj-cs230-061,INTELLIGENT SCIENTIFIC POSTER GENERATOR USING A FLAN-T5 TEXT-TO-TEXT TRANSFORMER MODEL,NLP / Transformer
proj-cs230-062,HOUSEHOLD ELECTRICITY CONSUMPTION FORECASTING AND VISUALIZATION SYSTEM USING LONG SHORT-TERM MEMORY (LSTM),Machine Learning; Data Analytics
proj-cs230-063,BUDDYUP: A HYBRID RECOMMENDER SYSTEM FOR PERSONALIZED FRIEND AND TRAVEL BUDDY MATCHING BASED ON PROFILE AND BEHAVIOR SIMILARITY,Recommender System
proj-cs230-064,SMARTGLAM INTELLIGENT MAKEUP STYLING USING CONVOLUTIONAL NEURAL NETWORKS (CNNs),Deep Learning / CV
proj-cs230-065,AUTOMATIC LECTURE DIALOGUE GENERATION FROM EDUCATIONAL SLIDES USING LARGE LANGUAGE MODEL (LLM),LLM
proj-cs230-066,COLLABORATIVE FILTERING PRODUCT RECOMMENDATION SYSTEM FOR SMALL AND MEDIUM E-COMMERCE BUSINESSES,Recommender System
proj-cs230-067,SMART DIET RECOMMENDATION SYSTEM USING CONTENT BASED FILTERING,Recommender System
proj-cs230-068,ATTENDANCE SYSTEM USING GEOFENCING AND TIME,General CS
proj-cs230-069,REAL-TIME HAND GESTURE RECOGNITION SYSTEM FOR VIRTUAL MOUSE CONTROL USING LANDMARK-BASED TRANSFORMER,NLP / Transformer
proj-cs230-070,DRIVER FACIAL EMOTION MUSIC REGULATION USING DEEP LEARNING,Deep Learning / CV; Sentiment Analysis
proj-cs230-071,REAL-TIME FORENSIC ANALYSIS OF LIP PRINTS WITH GENDER IDENTIFICATION USING THE INTEGRATION OF YOLOV8 AND SWIN TRANSFORMER VARIANTS,NLP / Transformer; Deep Learning / CV
proj-cs230-072,A HYBRID TEMPORAL CONVOLUTIONAL NETWORK AND CONDITIONAL RANDOM FIELD MODEL FOR LANDMARK-BASED VISEME-TO-PHONEME MAPPING,General CS
proj-cs230-073,STEM STREAM EXPERT SYSTEM USING LOGISTIC REGRESSION,General CS
proj-cs230-074,VIBESENSE: AN IOT-BASED PREDICTIVE MAINTENANCE PROTORYPE FOR ELECTRIC MOTORS IN SMES USING LOGISTIC REGRESSION,IoT / Embedded
proj-cs230-075,DYVISION: HYBRID PADDY FIELD DISEASE DETECTION FOR CONTROL MANAGEMENT,General CS
proj-cs230-076,"MEDISKIN: SKIN TREATMENT RECOMMENDATION SYSTEM USING MAMDANI FUZZY INFERENCE AND YOLOv8 FOR PEOPLE WITH ECZEMA, ACNE AND ROSACEA",Deep Learning / CV; Recommender System
proj-cs230-077,HYATI-HOST: REAL-TIME HYBRID HOST BASED NETWORK INTRUSION DETECTION SYSTEM USING EFFICIENTNET-B0 AND GRU ON WIRELESS ENVIRONMENT,Deep Learning / CV; Network Security / IDS
proj-cs230-078,REAL-TIME AUTOMATED WEB-BASED CAT BREED IDENTIFICATION SYSTEM FOR PET SHOPS USING INTEGRATED DEEP LEARNING,Deep Learning / CV; Web / Dashboard
proj-cs230-079,A REAL-TIME WEB-BASED FOR AUTOMATED WALL DEFECT DETECTION USING INTEGRATED EFFICIENET B0 WITH ATTENTION-BASED YOLOV12,Deep Learning / CV; Web / Dashboard
proj-cs230-080,COLLABORATIVE FILTERING FOR NATIONAL OUTDOOR RECREATION RECOMMENDATION VIA MOBILE APPLICATION USING USER BASED AND ITEM BASED SIMILARITY,Recommender System; Mobile App
proj-cs230-081,INTRAORAL DISEASE DETECTION AND AUTOMATED RADIOLOGY REPORT GENERATION USING YOLO AND FLAN-T5,General CS
proj-cs230-082,INTERACTIVE NUTRITION GAME USING KNOWLEDGE-BASED TO INCREASE NUTRITION KNOWLEDGE,General CS
proj-cs230-083,STARFRUIT DISEASE DETECTION SYSTEM USING IMAGE PROCESSING,General CS
proj-cs230-084,HOUSEHOLD EXPENSE ANALYSIS AND PREDICTION USING AGGLOMERATIVE CLUSTERING AND MULTIPLE LINEAR REGRESSION,Recommender System; AR/VR / Game
proj-cs230-085,SAFETY COMPANION APPLICATION FOR WOMEN USING RULE-BASED DECISION AND HAVERSINE CALCULATION,General CS
proj-cs230-086,A MIXED-SOURCE MACHINE LEARNING FRAMEWORK FOR PREDICTING BOX OFFICE REVENUE AND AUDIENCE RATING BEFORE RELEASE,Machine Learning
proj-cs230-087,GRADIA+: AN AI-POWERED PEER CONTRIBUTION EVALUATION SYSTEM USING MULTIMODAL BEHAVIOURAL AND TEXTUAL DATA,AI / General
proj-cs230-088,"SECURE MOBILE MARKETPLACE FOR UITM JASIN STUDENTS USING DOMAIN-BASED EMAIL AUTHENTICATION, OTP VERIFICATION AND BM25 RANKING ALGORITHM",General CS
proj-cs230-089,TOURISMIQ: A BiLSTM-BASED TOURISM DEMAND FORECASTING SYSTEM FOR MELAKA,Machine Learning; Data Analytics
proj-cs230-090,PLANTMATCH: A WEB-BASED HYBRID RECOMMENDER SYSTEM FOR SELECTING SUITABLE PLANTS BASED ON LIVING ENVIRONMENT,Recommender System; Web / Dashboard
proj-cs230-091,BINBUDDY: AI-BASED RECYLABE HOUSEHOLD WASTE CLASSIFIER USING RESNET-50,AI / General
proj-cs230-092,SOLGEN: FORECASTING SOLAR POWER GENERATION IN SMART GRIDS USING PSO-SVR HYBRIDIZATION,Machine Learning; AR/VR / Game; Data Analytics
proj-cs230-093,INTERVIEW RESPONSE EVALUATION SYSTEM USING NLP,General CS
proj-cs230-094,DEEP LEARNING PLANT RECOMMENDATION FROM SOIL IMAGES AND SUNLIGHT,Deep Learning / CV; Recommender System
proj-cs230-095,SMARTGRADEAI : AN AUTOMATED MARKING SYSTEM AND PERSONALIZED FEEDBACK FOR OPEN ENDED TYPE QUESTIONS USING LARGE LANGUAGE MODEL AND RETRIEVAL AUGMENTED GENERATION,LLM
proj-cs251-096,DEVELOPMENT OF SOCIAL MUSIC DISCOVERY PLATFORM USING PEER BASED SOCIAL NETWORKS AND HYBRID FILTERING,General CS
proj-cs251-097,SMART PUBLIC UMBRELLA SYSTEM WITH AUTOMATIC LOCKING AND RFID-BASED TRACKING,General CS
proj-cs251-098,PERSONALIZED MAKEUP LOOK RECOMMENDATION WEBSITE USING HYBRID FILTERING AND WEATHER API,Recommender System
proj-cs251-099,AUTOMATIC WASTE DETECTION SMART DUSTBIN SYSTEM USING IOT TECHNOLOGY,IoT / Embedded
proj-cs251-100,ILMORA: ONLINE ISLAMIC LEARNING PLATFORM USING TELEGRAM BOT WITH PROGRESS ANALYTICS,General CS
proj-cs251-101,DEVELOPING CAMPUS EVENT HUB USING GRAPH API WITH PERSONALISED EVENT RECOMMENDATION,Recommender System
proj-cs251-102,EZPAIZY : MOBILE LEARNING APPLICATION FOR ISLAMIC STUDIES(PAI) USING CHATGPT AND GEMINI API WITH RULE-BASED EXPERT SYSTEM,General CS
proj-cs251-103,DEVELOPING REAL-TIME EVENT MERIT MANAGEMENT SYSTEM COLLEGE ACCOMMODATION SELECTION WITH GEOFENCING TO ENHANCE TRANSPARENCY,General CS
proj-cs251-104,TRANSPORTATION CARBON FOOTPRINT TRACKING SYSTEM USING GEOLOCATION WITH A RULE-BASED SYSTEM,General CS
proj-cs251-105,RUNNINGTRACKER APPLICATION WITH TELEGRAM BOT SOS AND AI INTEGRATION,AI / General
proj-cs251-106,FAKE NEWS DETECTION AND VERIFICAATION SYSTEM USING INTEGRATION WITH NATURAL PROCESSING LANGUAGE(NLP),General CS
proj-cs251-107,STUDY BUDDY SYSTEM USING HYBRID FILTERING AND STRUCTURED REAL-TIME LEARNING CYCLES IN UITM JASIN,General CS
proj-cs251-108,INTERNSTAY: A CENTRALIZED WEB-BASED SYSTEM FOR INTERNSHIP AND RENTAL ACCOMMODATION DISCOVERY USING WEB SCRAPING AND GEOLOCATION,Web / Dashboard
proj-cs251-109,EVACCARE: INTELLIGENT FLOOD MANAGEMENT SYSTEM USING GEOLOCATION AND AI-BASED RESOURCE ALLOCATION,AI / General
proj-cs251-110,REAL-TIME BLOOD DONATION SYSTEM USING LOCATION BASED MATCHING ALGORITHM,General CS
proj-cs251-111,SMART GROCERY PLANNING AND WASTE REDUCTION THROUGH AN AI-POWERED WEB-BASED,Web / Dashboard; Data Analytics
proj-cs251-112,STRAVIOUR: AN AI-ENHANCED GEOLOCATION-BASED FOR ANIMAL ADOPTION AND RESCUE USING TELEGRAM BOT API,AI / General
proj-cs251-113,OURDAPUR: A WEB-BASED SMART COOKING ASSISTANT USING ARTIFICIAL INTELLIGENCE AND GEOLOCATION,AI / XAI; Web / Dashboard
proj-cs251-114,SKINORA: SMART SKINCARE ANALYZER WITH AI FOR PERSONALISED INGREDIENTS INSIGHT,AI / General
proj-cs251-115,SMART STUDENT LEARNING PROGRESS TRACKING AND RECOMMENDATION SYSTEM WITH TELEGRAM BOT INTEGRATION,Recommender System
proj-cs251-116,WEB-BASED GYM AND WORKOUT TRACKER SYSTEM WITH GAMIFICATION,Web / Dashboard
proj-cs251-117,TOURNAMATE: SMART RUGBY MANAGEMENT SYSTEM,General CS
proj-cs251-118,SPORTSWEAR PRICE COMPARISON AND PERSONALIZED PRICE NOTIFY WEB PLATFORM,AR/VR / Game
proj-cs251-119,TAJWEEDFLOW: WEB-BASED PLATFORM FOR TAJWEED ERROR DETECTION IN QUR’ANIC RECITATION FOCUSING ON IQLAB AND QOLQOLAH,Web / Dashboard
proj-cs251-120,SMART BARBERSHOP APPOINTMENT & AI-POWERED STYLE RECOMMENDATION SYSTEM,Recommender System
proj-cs251-121,EDUTRACKER: THE DEVELOPMENT OF A CHATBOT-DRIVEN ASSIGNMENT AND TEST TRACKER SYSTEM FOR STUDENTS,LLM
proj-cs251-122,SAIERA : SMART AI-POWERED ELECTRONICS REPAIR ASSISTANT,AI / General
proj-cs251-123,DEVELOPING SPORT COMMUNITY USING GEOLOCATION WITH LEVEL RECOMMENDATION,Recommender System
proj-cs251-124,DEVELOPMENT OF CLIENT ONBOARDING AND ACCOUNTING WORKFLOW MANAGEMENT SYSTEM,General CS
proj-cs251-125,TRAILTRACK: A GAMIFIED GPS-ENABLED MOBILE APPLICATION FOR HIKING NAVIGATION AND SAFETY,Mobile App
proj-cs251-126,MOOD MENU : PERSONALIZED FOODSUGGESTION BASED ON EMOTIONAL STATES,Sentiment Analysis
proj-cs251-127,A WEB-BASED CUSTOM JERSEY E-COMMERCE SYSTEM WITH AI-POWERED DESIGN MOCK-UP GENERATION FOR AIMAN NIAGA,Web / Dashboard
proj-cs251-128,DEVELOPMENT OF AN INTEGRATED RECRUITMENT SYSTEM FOR UITM KOMANDER KESATRIA: A WEB AND TELEGRAM BOT APPROACH,General CS
proj-cs251-129,IDPAY: A SECURE FACE RECOGNITION-BASED PAYMENT AUTHENTICATION SYSTEM,Mobile App
proj-cs251-130,MOBILE APPLICATION FOR CAR BREAKDOWN ASSIST SERVICE,AR/VR / Game; Mobile App
proj-cs251-131,DEVELOPMENT OF A WEB-BASED DIGITAL FOOTPRINT ANALYZER FOR FORENSIC INVESTIGATION,Web / Dashboard
proj-cs251-132,SMART FAMILY HEALTH MONITORING SYSTEM WITH SECURE AUTHENTICATION,General CS
proj-cs251-133,INTELLIGENT FERRY BOOKING WEB SYSTEM WITH AI-PREDICTIVE CANCELLATION RISK MODELLING,AI / General
proj-cs251-134,SMART IOT GLOVE FOR REAL-TIME SIGN LANGUAGE TRANSLATION WITH MACHINE LEARNING,Machine Learning; IoT / Embedded
proj-cs251-135,QUITSYNC:A CLOUD-CONNECTED SMOKING CESSATION APP WITH TRIGGER DETECTION AND COMMUNITY SUPPORT,General CS
proj-cs251-136,DEVELOPMENT OF ONLINE ORDERING SYSTEM FOR MOTORCYCLE PART ENGINEERING USING TELEGRAM BOT WITH RULE-BASED EXPERT SYSTEM,General CS
proj-cs251-137,EASTPLORE : TRAVEL RECOMENDATION SYSTEM FOR EAST COAST OF MALAYSIA USING RULE-BASED TECHNIQUE AND WEB SCRAPPING,General CS
proj-cs251-138,SAFECHILD: A MOBILE SYSTEM FOR REAL-TIME CHILD TRACKING AND GEOFENCING ALERTS,General CS
proj-cs251-139,SCHOLAREASE: SCHOLARSHIP RECOMMENDATION SYSTEM USING OPTICAL CHARACTER RECOGNITION (OCR) AND WEB SCRAPING WITH RULE-BASED TECHNIQUE,Recommender System; Data Analytics
proj-cs251-140,COMPLISCAN: VERIFYING COSMETIC PRODUCT LABELING COMPLIANCE USING OCR EXTRACTION WITH RULE-BASED SYSTEM,General CS
proj-cs251-141,SMARTSHOPPER: MOBILE APPLICATION USING WEB SCRAPING WITH PRICE COMPARISON AND BUDGET PLANNER,Mobile App
proj-cs251-142,TÉAZY: TEA RECOMMENDATION SYSTEM USING WEB SCRAPING WITH CONTENT BASED FILTERING,Recommender System
proj-cs251-143,LEVERAGING GIS AND MACHINE LEARNING FOR PREDICTION OF INDUSTRIAL DISASTER RISKS,Generative AI / RAG; Machine Learning
proj-cs251-144,FARAID WEB-BASED SYSTEM USING FAMILY TREE GENERATOR WITH TELEGRAM BOT,Web / Dashboard
proj-cs251-145,UPLIFTS: A MENTORSHIP APPLICATION WITH WEB SCRAPING AND JOB MATCHING RECOMMENDATIONS,Recommender System
proj-cs251-146,AI POWERED OUTDOOR EVENT AGGREGATOR MOBILE APPLICATION WITH REAL-TIME BASED GEOLOCATION AND PERSONALIZED RECOMMENDATIONS,Recommender System; Mobile App
proj-cs251-147,SMART GARBAGE LIVE TRACKER MOBILE APPLICATION USING GPS AND CLOUD INTEGRATION,Mobile App
proj-cs251-148,IOT-BASED SMART AQUARIUM WATER QUALITY MONITORING AND CONTROL SYSTEM WITH WEB AND TELEGRAM INTEGRATION,IoT / Embedded
proj-cs251-149,MOBILE APPLICATION FOR FOOD DONATION WITH NGO VERIFICATION AND REAL-TIME TRACKING,Mobile App
proj-cs251-150,GIS-BASED LOCATION-CONTENT FILTERING FOR INTELLIGENT CAMPSITE BOOKING RECOMMENDATION SYSTEM,Recommender System
proj-cs251-151,RIDEMATE: A COMMUNITY RIDE-SHARING MOBILE APP FOR MOTORCYCLISTS,General CS
proj-cs251-152,TAJTRAINER: AN AI WEB-BASED APPLICATION FOR TAJWEED ERROR DETECTION AND LEARNING SYSTEM,Web / Dashboard
proj-cs251-153,VERIPATROL: BLOCKCHAIN-BASED AI SURVEILLANCE WITH GEOLOCATION AND PWA INTEGRATION,Blockchain
proj-cs251-154,MELAKATOUR: A CLOUD-BASED REAL-TIME TRAVEL ASSISTANT FOR TOURIST,General CS
proj-cs251-155,MOTORVIBE: MOTORCYCLE EVENT AGGREGATOR WEBSITE USING WEB SCRAPING AND API INTEGRATION,General CS
proj-cs251-156,AI-BASED WEB APPLICATION FOR DETECTING TAJWEED ERRORS IN QURAN RECITATION,Web / Dashboard
proj-cs251-157,AISTUDY: AI-POWERED FLASHCARD AND STUDY ASSISTANT,AI / General
proj-cs251-158,TAXEASE: A MOBILE APPLICATION FOR MANAGING TAX RELIEF DOCUMENTS,Mobile App
proj-cs251-159,SMARTMED: A CROSS-PLATFORM CLINIC APPOINTMENT BOOKING SYSTEM WITH VOICE ASSISTANT AND TELECONSULTATION FOR VISUALLY IMPAIRED PATIENTS AT KLINIK MERLIMAU,General CS
proj-cs251-160,DEVELOPMENT OF AN AI-ASSISTED COSMETIC PRODUCT RECOMMENDATION SYSTEM,Recommender System
proj-cs253-161,SMILEVISION VR: A GAMIFIED VIRTUAL EXPLORATION OF COSMETIC DENTAL TREATMENTS,AR/VR / Game
proj-cs253-162,Plantopia VR – Eco Adventure Learning for KSSM Biology Students,AR/VR / Game
proj-cs253-163,CODE BREAKOUT: A Game-Based Learning Solution for Introductory Programming,AR/VR / Game
proj-cs253-164,DRIVE SMART: NON-IMMERSIVE VIRTUAL LEARNING FOR DRIVING LICENSE,General CS
proj-cs253-165,THE KSSM VIRTUAL LAB: 3D SIMULATIONS,General CS
proj-cs253-166,GOOD DEEDS GO! : A GAME-BASED LEARNING APPROACH TO ISLAMIC EDUCATION FOR STANDARD 2,AR/VR / Game
proj-cs253-167,IMMERSIVE SCUBA DIVING EXPERIENCE USING VIRTUAL REALITY,AR/VR / Game
proj-cs253-168,LOGICGATE QUEST: INTERACTIVE GAME-BASED LEARNING FOR LEARNING LOGIC GATE TO SECONDARY SCHOOL STUDENTS,AR/VR / Game
proj-cs253-169,WEAVE OF UNITY: ACTION ROLEPLAY GAMES TO PROMOTE TRADITIONAL CULTURE AMONG YOUNG ADULT,General CS
proj-cs253-170,SAFEROUTE:FIRE ESCAPE TRAINING GAME,General CS
proj-cs253-171,RECYCLE RIFT: A FIRST-PERSON GAME TO PROMOTE RECYCLING AWARENESS,General CS
proj-cs253-172,Cook Or Cooked: A Time Attack Traditional Culinary Game,General CS
proj-cs253-173,STARSTEPS: A GAMIFIED MOBILE DAILY HABITS ROUTINE TRACKER APPLICATION FOR CHILDREN,General CS
proj-cs253-174,Track of Motion: Fundamental Physics Learning using Mobile Game for Students,General CS
proj-cs253-175,Cries of Freedom: A 3D Narrative Adventure Game on the History of Palestine (1948–Present),General CS
proj-cs253-176,ENGLISH CAFE : A WEB-BASED GAMIFIED LEARNING PLATFORM FOR IMPROVING ENGLISH GRAMMAR SKILLS,AR/VR / Game; Web / Dashboard
proj-cs253-177,PANTUN 101: LEARN PANTUN USING 3D GAME,General CS
proj-cs253-178,MASTER BAHASA: A GAME-BASED MALAY LANGUAGE LEARNING TOOL FOR STANDARD 1,AR/VR / Game
proj-cs253-179,SIRAHQUEST: A LEARNING ADVENTURE THROUGH STORIES AND PLAY,General CS
